,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
496,1440,320,9,IS,2888,0,0,0.0,0.0
497,864,864,1089,IS,62724,1190940,0,0.015821886797265584,0.0
498,1152,1152,12100,IS,894807,46198953,0,0.03068813729147536,0.0
499,832,384,25,IS,2514,0,0,0.0,0.0
500,480,64,144,IS,4818,0,0,0.0,0.0
501,147,147,47524,IS,448768,3045275,0,0.027244335049902462,0.0
502,832,128,49,IS,4172,0,0,0.0,0.0
503,528,528,144,IS,5388,0,0,0.0,0.0
504,384,64,196,IS,5402,0,0,0.0,0.0
505,1152,32,25,IS,3458,0,0,0.0,0.0
506,2048,320,64,IS,10272,0,0,0.0,0.0
507,2048,384,64,IS,10276,0,0,0.0,0.0
508,64,384,196,IS,1013,0,0,0.0,0.0
509,800,128,196,IS,11239,0,0,0.0,0.0
510,736,128,49,IS,3692,0,0,0.0,0.0
511,192,128,784,IS,9747,0,0,0.0,0.0
