,C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
301,1440,320,9,OS,29,0,0,0.0,0.0
302,24,116,784,OS,1396,0,0,0.0,0.0
303,1728,192,225,OS,3705,0,0,0.0,0.0
304,256,64,3136,OS,51020,1843380,0,0.05018890881147541,0.0
305,27,32,49284,OS,89376,303681846,0,0.06241137414731245,0.0
306,736,128,196,OS,2809,0,0,0.0,0.0
307,64,128,3136,OS,13588,3072300,0,0.05887545072115385,0.0
308,27,27,49284,OS,86295,151840923,0,0.06241137414731245,0.0
309,288,64,1225,OS,22695,0,0,0.0,0.0
310,192,64,196,OS,2727,0,0,0.0,0.0
311,672,128,49,OS,265,0,0,0.0,0.0
312,320,128,196,OS,2809,0,0,0.0,0.0
313,528,128,144,OS,1485,0,0,0.0,0.0
314,64,80,5329,OS,22442,5338656,0,0.06048493462702619,0.0
315,992,128,196,OS,2809,0,0,0.0,0.0
316,576,128,49,OS,265,0,0,0.0,0.0
317,416,128,784,OS,21045,0,0,0.0,0.0
318,256,32,676,OS,11350,0,0,0.0,0.0
319,24,144,3136,OS,5708,3072300,0,0.06107777431421446,0.0
320,288,128,196,OS,2809,0,0,0.0,0.0
321,1152,1152,12100,OS,904286,348039834,0,0.048658873618959174,0.0
322,608,128,196,OS,2809,0,0,0.0,0.0
323,288,32,21609,OS,392078,58384816,0,0.06011380232963139,0.0
324,720,192,5041,OS,230452,11148480,0,0.043874088880015975,0.0
325,512,512,144,OS,1737,0,0,0.0,0.0
326,576,96,196,OS,2796,0,0,0.0,0.0
327,288,64,21025,OS,382953,82939680,0,0.06007297982595029,0.0
328,464,464,196,OS,2939,0,0,0.0,0.0
329,147,64,47524,OS,445797,423572499,0,0.061939695282362144,0.0
330,160,160,49,OS,269,0,0,0.0,0.0
331,2048,384,64,OS,372,0,0,0.0,0.0
332,832,48,25,OS,79,0,0,0.0,0.0
333,528,256,144,OS,1521,0,0,0.0,0.0
334,64,384,196,OS,1065,0,0,0.0,0.0
335,576,160,49,OS,269,0,0,0.0,0.0
336,800,96,484,OS,15612,0,0,0.0,0.0
337,192,128,784,OS,9845,0,0,0.0,0.0
338,512,128,196,OS,2809,0,0,0.0,0.0
339,27,24,49284,OS,86295,151840923,0,0.06241137414731245,0.0
340,224,128,784,OS,11445,0,0,0.0,0.0
341,16,16,12544,OS,13344,9833712,0,0.06225679002541296,0.0
342,1152,1,1,OS,3,0,0,0.0,0.0
343,160,128,784,OS,8245,0,0,0.0,0.0
344,864,128,49,OS,265,0,0,0.0,0.0
345,480,192,144,OS,1503,0,0,0.0,0.0
346,256,256,676,OS,11651,0,0,0.0,0.0
347,512,112,144,OS,1476,0,0,0.0,0.0
348,600,64,64,OS,332,0,0,0.0,0.0
349,640,128,196,OS,2809,0,0,0.0,0.0
350,704,128,49,OS,265,0,0,0.0,0.0
351,400,32,484,OS,12862,0,0,0.0,0.0
352,480,64,144,OS,1467,0,0,0.0,0.0
353,768,128,49,OS,265,0,0,0.0,0.0
354,640,128,49,OS,265,0,0,0.0,0.0
355,128,128,784,OS,6645,0,0,0.0,0.0
356,512,1024,784,OS,28290,1304478,0,0.02109375,0.0
357,768,160,289,OS,5894,0,0,0.0,0.0
358,1120,160,187,OS,2503,0,0,0.0,0.0
359,1200,64,961,OS,59765,0,0,0.0,0.0
360,512,2048,49,OS,709,0,0,0.0,0.0
361,1152,256,100,OS,863,0,0,0.0,0.0
362,1152,256,2916,OS,213615,4801005,0,0.02870954846176301,0.0
363,528,160,144,OS,1494,0,0,0.0,0.0
364,1280,1,1,OS,3,0,0,0.0,0.0
365,192,32,676,OS,8534,0,0,0.0,0.0
366,832,128,49,OS,265,0,0,0.0,0.0
367,832,384,25,OS,101,0,0,0.0,0.0
368,576,576,49284,OS,1834347,2884977537,0,0.06039632801658589,0.0
369,704,128,196,OS,2809,0,0,0.0,0.0
370,800,128,49,OS,265,0,0,0.0,0.0
371,384,128,196,OS,2809,0,0,0.0,0.0
372,1008,224,100,OS,856,0,0,0.0,0.0
373,576,192,2704,OS,99103,3197649,0,0.038117666967509026,0.0
374,2304,2304,2916,OS,446877,40008375,0,0.01861388306861558,0.0
375,1152,192,576,OS,21564,0,0,0.0,0.0
376,2592,384,1089,OS,77127,975936,0,0.01582567472875512,0.0
377,672,128,196,OS,2809,0,0,0.0,0.0
378,896,192,187,OS,2515,0,0,0.0,0.0
379,512,128,9,OS,23,0,0,0.0,0.0
380,4608,4608,676,OS,42235,4324725,0,0.015878842652568188,0.0
381,128,512,784,OS,7361,652239,0,0.04189854452054795,0.0
382,1200,128,1,OS,7,0,0,0.0,0.0
383,256,128,3136,OS,51412,3072300,0,0.05018890881147541,0.0
384,256,48,1225,OS,20122,0,0,0.0,0.0
385,544,128,49,OS,265,0,0,0.0,0.0
386,416,128,196,OS,2809,0,0,0.0,0.0
387,896,128,187,OS,2491,0,0,0.0,0.0
388,288,128,784,OS,14645,0,0,0.0,0.0
389,192,64,1225,OS,15207,0,0,0.0,0.0
390,96,96,196,OS,1396,0,0,0.0,0.0
391,4608,512,144,OS,1737,0,0,0.0,0.0
392,1728,320,225,OS,3765,0,0,0.0,0.0
393,1728,384,9,OS,31,0,0,0.0,0.0
394,2304,512,676,OS,31151,493425,0,0.015878842652568188,0.0
395,512,24,144,OS,1449,0,0,0.0,0.0
396,832,192,25,OS,89,0,0,0.0,0.0
397,1152,384,48,OS,231,0,0,0.0,0.0
398,256,64,1225,OS,20199,0,0,0.0,0.0
399,736,128,49,OS,265,0,0,0.0,0.0
400,160,128,3136,OS,32500,3072300,0,0.05418625553097345,0.0
401,1024,512,196,OS,3161,0,0,0.0,0.0
402,480,480,144,OS,1584,0,0,0.0,0.0
403,96,24,3136,OS,19108,0,0,0.0,0.0
404,400,48,64,OS,328,0,0,0.0,0.0
405,320,128,784,OS,16245,0,0,0.0,0.0
406,928,128,49,OS,265,0,0,0.0,0.0
407,800,128,1,OS,7,0,0,0.0,0.0
408,192,48,1225,OS,15130,0,0,0.0,0.0
409,384,64,196,OS,2783,0,0,0.0,0.0
410,224,128,3136,OS,45108,3072300,0,0.051454175420168065,0.0
411,512,32,144,OS,1458,0,0,0.0,0.0
412,896,128,196,OS,2809,0,0,0.0,0.0
413,147,64,50176,OS,470547,472046400,0,0.06195423474326807,0.0
414,480,96,144,OS,1476,0,0,0.0,0.0
415,232,232,196,OS,2848,0,0,0.0,0.0
416,512,160,144,OS,1494,0,0,0.0,0.0
417,480,128,784,OS,24245,0,0,0.0,0.0
418,480,128,196,OS,2809,0,0,0.0,0.0
419,192,128,3136,OS,38804,3072300,0,0.05278488685344827,0.0
420,832,32,25,OS,79,0,0,0.0,0.0
421,576,64,2916,OS,106533,1600335,0,0.039392171145209716,0.0
422,528,128,9,OS,23,0,0,0.0,0.0
423,1152,32,2916,OS,212334,421342,0,0.011338130986302384,0.0
424,192,64,676,OS,8577,0,0,0.0,0.0
425,832,128,196,OS,2809,0,0,0.0,0.0
426,960,128,49,OS,265,0,0,0.0,0.0
427,960,160,49,OS,269,0,0,0.0,0.0
428,1152,128,12100,OS,877001,45794715,0,0.048658873618959174,0.0
429,576,128,196,OS,2809,0,0,0.0,0.0
430,147,147,47524,OS,451739,705954165,0,0.061939695282362144,0.0
431,320,1280,49,OS,511,0,0,0.0,0.0
432,256,128,784,OS,13045,0,0,0.0,0.0
433,1152,128,676,OS,29959,0,0,0.0,0.0
434,832,128,25,OS,85,0,0,0.0,0.0
435,147,147,50176,OS,476819,786744000,0,0.06195423474326807,0.0
436,1280,320,64,OS,364,0,0,0.0,0.0
437,2304,256,144,OS,1521,0,0,0.0,0.0
438,27,32,88209,OS,159933,972757824,0,0.06245257095222373,0.0
439,832,832,25,OS,154,0,0,0.0,0.0
440,512,256,784,OS,26041,0,0,0.0,0.0
441,96,128,3136,OS,19892,3072300,0,0.05722473714953271,0.0
442,192,16,676,OS,8491,0,0,0.0,0.0
443,1024,256,196,OS,2861,0,0,0.0,0.0
444,1152,32,25,OS,79,0,0,0.0,0.0
445,352,128,784,OS,17845,0,0,0.0,0.0
446,576,128,12100,OS,440393,45794715,0,0.054739473388525375,0.0
447,256,128,196,OS,2809,0,0,0.0,0.0
448,128,128,3136,OS,26196,3072300,0,0.0556640625,0.0
449,800,64,64,OS,332,0,0,0.0,0.0
450,928,1024,49,OS,479,0,0,0.0,0.0
451,2048,1,1,OS,3,0,0,0.0,0.0
452,2304,256,2916,OS,425583,4801005,0,0.01861388306861558,0.0
453,24,116,3136,OS,5512,2457840,0,0.06107777431421446,0.0
454,864,96,1089,OS,60756,0,0,0.0,0.0
455,4608,512,676,OS,31151,493425,0,0.015878842652568188,0.0
